review_id,booking_id,client_id,walker_id,rating,body,sentiment_label,posted_at
R000001,B000001,C0001,W0003,4,Always on time and so communicative. Cleo is a gem.,positive,2023-01-07T01:00:00
R000002,B000003,C0001,W0004,5,Absolutely love Jordan! Maggie is always tired and happy after walks.,positive,2023-01-07T09:00:00
R000003,B000004,C0001,W0007,5,Natalie goes above and beyond. Highly recommend to anyone in the area.,positive,2023-01-07T11:00:00
R000004,B000005,C0001,W0007,5,Natalie goes above and beyond. Highly recommend to anyone in the area.,positive,2023-01-08T23:45:00
R000005,B000007,C0003,W0008,5,Cooper absolutely adores Marcus. We feel so lucky to have found her.,positive,2023-01-06T20:15:00
R000006,B000008,C0003,W0002,5,Always on time and so communicative. Devon is a gem.,positive,2023-01-04T11:00:00
R000007,B000009,C0004,W0007,5,Absolutely love Natalie! Willow is always tired and happy after walks.,positive,2023-01-03T13:30:00
R000008,B000011,C0004,W0006,4,"Professional, caring, and thorough. Chris sends detailed reports after each visit.",positive,2023-01-02T14:00:00
R000009,B000012,C0004,W0001,5,Willow absolutely adores Amara. We feel so lucky to have found her.,positive,2023-01-08T03:00:00
R000010,B000015,C0006,W0003,5,Cleo goes above and beyond. Highly recommend to anyone in the area.,positive,2023-01-09T02:00:00
R000011,B000016,C0011,W0007,5,Best walker we've ever had. Bentley gets so excited when Natalie arrives.,positive,2023-01-04T10:45:00
R000012,B000017,C0012,W0002,4,Our anxious dog warmed up to Devon immediately. That says everything.,positive,2023-01-08T21:15:00
R000013,B000019,C0015,W0001,5,Amara treats Cooper like her own. We couldn't ask for more.,positive,2023-01-08T16:30:00
R000014,B000020,C0017,W0003,5,Best walker we've ever had. Shadow gets so excited when Cleo arrives.,positive,2023-01-06T03:45:00
R000015,B000022,C0018,W0004,5,5 stars every time. Harley has improved so much with consistent walks.,positive,2023-01-06T13:30:00
R000016,B000023,C0019,W0006,5,Absolutely love Chris! Jax is always tired and happy after walks.,positive,2023-01-10T02:45:00
R000017,B000024,C0019,W0005,4,Always on time and so communicative. Priya is a gem.,positive,2023-01-06T13:15:00
R000018,B000025,C0019,W0006,4,Buddy absolutely adores Chris. We feel so lucky to have found her.,positive,2023-01-04T09:30:00
R000019,B000026,C0020,W0005,5,Priya goes above and beyond. Highly recommend to anyone in the area.,positive,2023-01-04T11:45:00
