pet_id,owner_id,name,breed,weight_lb,energy,age_years
P0001,C0016,Oscar,German Shepherd,43,high,6.7
P0002,C0009,Rosie,Chihuahua,32,low,3.7
P0003,C0016,Lola,Siberian Husky,46,high,5.6
P0004,C0057,Bear,Siberian Husky,62,high,1.1
P0005,C0036,Bella,Siberian Husky,30,high,11.6
P0006,C0050,Gus,Siberian Husky,30,high,2.4
P0007,C0033,Zoe,Beagle,63,medium,10.4
P0008,C0059,Ruby,Labrador Retriever,48,high,4.9
P0009,C0026,Axel,Poodle,26,medium,3.8
P0010,C0046,Dexter,Boxer,44,high,2.3
P0011,C0020,Molly,German Shepherd,26,high,7.2
P0012,C0036,Harley,Labrador Retriever,26,high,1.2
P0013,C0040,Simba,Beagle,39,medium,11.1
P0014,C0035,Molly,French Bulldog,5,low,11.5
P0015,C0006,Rosie,Siberian Husky,5,high,1.3
P0016,C0005,Gus,Pug,24,low,5.1
P0017,C0059,Coco,Border Collie,16,high,7.2
P0018,C0003,Cooper,Border Collie,40,high,5.3
P0019,C0040,Shadow,Border Collie,18,high,4.1
P0020,C0018,Harley,German Shepherd,9,high,3.2
P0021,C0027,Bentley,French Bulldog,61,low,5.8
P0022,C0052,Lola,Corgi,30,medium,0.6
P0023,C0043,Bear,Border Collie,36,high,1.3
P0024,C0014,Gracie,Dachshund,9,low,2.0
P0025,C0024,Rocky,Corgi,25,medium,10.6
P0026,C0025,Biscuit,Poodle,36,medium,5.5
P0027,C0037,Bentley,Boxer,14,high,7.5
P0028,C0055,Izzy,Pug,41,low,0.6
P0029,C0056,Bentley,Dachshund,24,low,11.2
P0030,C0007,Chloe,Corgi,29,medium,3.5
P0031,C0007,Penny,Boxer,24,high,3.6
P0032,C0043,Lucy,German Shepherd,68,high,2.8
P0033,C0046,Gracie,Siberian Husky,34,high,6.3
P0034,C0019,Buddy,Corgi,15,medium,1.6
P0035,C0030,Stella,Siberian Husky,49,high,1.0
P0036,C0024,Duke,Maltese,13,low,7.8
P0037,C0019,Jax,French Bulldog,38,low,6.8
P0038,C0032,Bella,Dachshund,5,low,1.8
P0039,C0053,Penny,Corgi,11,medium,6.8
P0040,C0028,Zeus,Border Collie,38,high,5.4
P0041,C0003,Louie,Poodle,48,medium,10.8
P0042,C0004,Willow,Corgi,38,medium,2.9
P0043,C0020,Maggie,Pug,32,low,4.6
P0044,C0045,Ollie,Corgi,29,medium,11.7
P0045,C0058,Gus,French Bulldog,8,low,10.4
P0046,C0014,Ollie,Corgi,22,medium,0.8
P0047,C0060,Bruno,Corgi,26,medium,9.5
P0048,C0034,Coco,Maltese,54,low,3.6
P0049,C0056,Finn,Golden Retriever,41,high,10.5
P0050,C0039,Lily,German Shepherd,5,high,9.9
P0051,C0038,Ellie,Shiba Inu,40,high,9.9
P0052,C0021,Luna,German Shepherd,28,high,8.1
P0053,C0033,Stella,Shiba Inu,22,high,10.4
P0054,C0025,Angel,Shiba Inu,46,high,5.1
P0055,C0048,Luna,Shiba Inu,53,high,1.8
P0056,C0023,Gracie,French Bulldog,51,low,0.9
P0057,C0052,Roscoe,Chihuahua,19,low,8.9
P0058,C0029,Angel,Chihuahua,29,low,1.8
P0059,C0050,Sam,German Shepherd,40,high,1.0
P0060,C0038,Shadow,Labrador Retriever,52,high,11.1
P0061,C0049,Lily,Pug,26,low,4.7
P0062,C0006,Bruno,Pug,31,low,7.7
P0063,C0011,Bentley,Boxer,15,high,6.3
P0064,C0039,Ginger,Shiba Inu,13,high,8.5
P0065,C0054,Oscar,French Bulldog,49,low,5.3
P0066,C0035,Murphy,Pug,59,low,7.6
P0067,C0029,Mochi,Chihuahua,33,low,4.0
P0068,C0021,Abby,Chihuahua,53,low,5.8
P0069,C0048,Zoe,Pug,41,low,6.4
P0070,C0015,Cooper,Pug,23,low,3.8
