booking_id,client_id,walker_id,pet_id,service_type,scheduled_at,duration_min,zip,lat,lng,base_price,surge_multiplier,final_price,status,hour_of_day,day_of_week,month,is_peak_hour,is_weekend
B000001,C0001,W0003,P0043,walk_30,2023-01-05T06:00:00,30,07017,40.7651,-74.2099,16.0,0.9906,15.85,completed,6,3,1,0,0
B000002,C0001,W0002,P0043,walk_60,2023-01-06T06:15:00,60,07017,40.7651,-74.2099,24.0,1.0017,24.04,completed,6,4,1,0,0
B000003,C0001,W0004,P0043,walk_60,2023-01-04T09:00:00,60,07017,40.7651,-74.2099,24.0,1.2371,29.69,completed,9,2,1,1,0
B000004,C0001,W0007,P0043,walk_30,2023-01-06T19:00:00,30,07017,40.7651,-74.2099,16.0,1.1208,17.93,completed,19,4,1,1,0
B000005,C0001,W0007,P0043,drop_in,2023-01-07T11:45:00,20,07017,40.7651,-74.2099,14.0,0.9844,13.78,completed,11,5,1,0,1
B000006,C0002,W0007,P0012,walk_30,2023-01-04T09:00:00,30,07043,40.8293,-74.1943,16.0,1.2824,20.52,completed,9,2,1,1,0
B000007,C0003,W0008,P0018,drop_in,2023-01-06T19:15:00,20,07018,40.7537,-74.2321,14.0,1.2524,17.53,completed,19,4,1,1,0
B000008,C0003,W0002,P0041,drop_in,2023-01-04T08:00:00,20,07018,40.7537,-74.2321,14.0,1.196,16.74,completed,8,2,1,1,0
B000009,C0004,W0007,P0042,walk_30,2023-01-01T08:30:00,30,07018,40.7537,-74.2321,16.0,1.0889,17.42,completed,8,6,1,1,1
B000010,C0004,W0005,P0042,drop_in,2023-01-07T18:45:00,20,07018,40.7537,-74.2321,14.0,1.0527,14.74,completed,18,5,1,1,1
B000011,C0004,W0006,P0042,walk_60,2023-01-01T06:00:00,60,07018,40.7537,-74.2321,24.0,0.9613,23.07,completed,6,6,1,0,1
B000012,C0004,W0001,P0042,walk_30,2023-01-06T11:00:00,30,07018,40.7537,-74.2321,16.0,1.0281,16.45,completed,11,4,1,0,0
B000013,C0005,W0003,P0016,walk_30,2023-01-02T19:15:00,30,07017,40.7651,-74.2099,16.0,1.2104,19.37,completed,19,0,1,1,0
B000014,C0006,W0005,P0062,overnight,2023-01-02T20:45:00,720,07043,40.8293,-74.1943,55.0,0.9866,54.26,completed,20,0,1,0,0
B000015,C0006,W0003,P0062,walk_60,2023-01-06T08:00:00,60,07043,40.8293,-74.1943,24.0,1.1915,28.6,completed,8,4,1,1,0
B000016,C0011,W0007,P0063,overnight,2023-01-03T09:45:00,720,07108,40.7151,-74.2154,55.0,1.1863,65.25,completed,9,1,1,1,0
B000017,C0012,W0002,P0029,overnight,2023-01-06T12:15:00,720,07043,40.8293,-74.1943,55.0,1.0809,59.45,completed,12,4,1,0,0
B000018,C0014,W0006,P0046,walk_60,2023-01-01T08:00:00,60,07305,40.6987,-74.0876,24.0,1.1374,27.3,completed,8,6,1,1,1
B000019,C0015,W0001,P0070,walk_60,2023-01-06T15:30:00,60,07018,40.7537,-74.2321,24.0,1.0278,24.67,completed,15,4,1,0,0
B000020,C0017,W0003,P0019,walk_30,2023-01-03T08:45:00,30,07201,40.6634,-74.2107,16.0,1.2025,19.24,completed,8,1,1,1,0
B000021,C0018,W0008,P0020,walk_30,2023-01-06T13:30:00,30,07108,40.7151,-74.2154,16.0,1.0473,16.76,completed,13,4,1,0,0
B000022,C0018,W0004,P0020,walk_30,2023-01-03T15:30:00,30,07108,40.7151,-74.2154,16.0,0.9936,15.9,completed,15,1,1,0,0
B000023,C0019,W0006,P0037,walk_30,2023-01-07T09:45:00,30,07042,40.8098,-74.2026,16.0,1.1023,17.64,completed,9,5,1,1,1
B000024,C0019,W0005,P0034,drop_in,2023-01-03T19:15:00,20,07042,40.8098,-74.2026,14.0,1.1679,16.35,completed,19,1,1,1,0
B000025,C0019,W0006,P0034,walk_60,2023-01-03T09:30:00,60,07042,40.8098,-74.2026,24.0,1.2577,30.18,completed,9,1,1,1,0
B000026,C0020,W0005,P0011,walk_30,2023-01-02T08:45:00,30,07042,40.8098,-74.2026,16.0,1.2859,20.57,completed,8,0,1,1,0
B000027,C0020,W0002,P0011,overnight,2023-01-04T19:45:00,720,07042,40.8098,-74.2026,55.0,1.1597,63.78,completed,19,2,1,1,0
B000028,C0022,W0006,P0004,walk_30,2023-01-02T15:30:00,30,07106,40.7432,-74.2365,16.0,1.0109,16.17,completed,15,0,1,0,0
B000029,C0022,W0006,P0004,drop_in,2023-01-06T08:30:00,20,07106,40.7432,-74.2365,14.0,1.2179,17.05,completed,8,4,1,1,0
